1boy,"1个男人,1男"
1girl,"1个女人,1个女孩"
2_girls,"2个女人"
2boy,"2个男人,两男"
2equal8,"2等于8"
2girl,"两女"
3boy,"3男"
4boy,"4男"
4girl,"4女"
4koma,"四格"
4th_wall,"虚实穿插/现实感/次元壁"
5boy,"5男"
5danny1206,"5丹尼1206"
5girl,"5女"
6月3,"日"
7_calpis_7,"可尔必思（calpis）乳性果汁饮料"
7th_dragon,"七龙珠"
7th_dragon_(series),"七龙珠(系列)"
7th_dragon_2020,"七龙珠2020"
888myrrh888,"画师888myrrh888"
:(,"皱眉/蹙额"
:),"微笑"
:/,"撇嘴"
:0,"惊讶"
:3,"猫嘴,65286"
:9,"右上吐舌头"
:b,"右下吐舌头"
:d,"咧嘴笑"
:|,"无表情"
;d,"单眼咧嘴笑"
>:(,"愤怒"
>:),"嘲笑"
?_block,"?块"
a-ka,"又名"
a-rise,"上升"
a-soul,"灵魂"
a.b.a,"阿巴"
a.i._voice,"人工智能语音"
a.t._zero,"零"
a.x.,"斧头"
a:n_(angrynum),"一个：n(愤怒)"
a_(aaaaaaaaaaw),"一个(aaaaaaaaaaaw)"
a_(phrase),"一个(短语)"
a_channel,"一个频道"
a_deer_of_nine_colors,"九色鹿"
a_hat_in_time,"及时戴上帽子"
a_maru,"丸"
a_song_of_ice_and_fire,"冰与火之歌"
aaeru,"艾鲁"
aak_(arknights),"aak(方舟之夜)"
aang,"昂"
aardwolf_(kemono_friends),"aardwolf(kemono朋友)"
aardwolf_ears,"土狼耳朵"
aardwolf_print,"土狼印花"
aardwolf_tail,"土狼尾巴"
abacus,"算盘"
abandon_ranka,"放弃兰卡"
abandoned,"被遗弃"
abara_heiki,"原平辉"
abarai_renji,"阿原井仁济"
abaratani_kurou,"原谷九郎"
abaraya,"巴拉亚"
abazu-red,"abazu-红"
abbreviated_karakusa,"简写karakusa"
abbystea,"阿比斯蒂亚"
abe_inori,"阿部伊诺里"
abe_kanari,"阿部金成"
abe_nana,"阿部娜娜"
abe_suke,"安倍助"
abe_takakazu,"阿部高和"
abe_yoshitoshi,"安倍佳俊"
abekawa,"阿部川"
abenattou,"阿贝纳图"
abigail_williams_(emerald_float)_(fate),"阿比盖尔·威廉姆斯(翡翠浮动)(fate)"
abigail_williams_(fate),"阿比盖尔·威廉姆斯(fate)"
abigail_williams_(festival_outfit)_(fate),"阿比盖尔·威廉姆斯(节日服装)(fate)"
abigail_williams_(second_ascension)_(fate),"阿比盖尔·威廉姆斯(第二次扬升)(fate)"
abigail_williams_(swimsuit_foreigner)_(fate),"阿比盖尔·威廉姆斯(泳装老外)(fate)"
abigail_williams_(swimsuit_foreigner)_(second_ascension)_(fate),"阿比盖尔·威廉姆斯(泳装老外)(第二次提升)(fate)"
abigail_williams_(swimsuit_foreigner)_(third_ascension)_(fate),"阿比盖尔·威廉姆斯(泳装)(fate)"
abigail_williams_(third_ascension)_(fate),"阿比盖尔·威廉姆斯(第三次提升)(fate)"
abigail_williams_(traveling_outfit)_(fate),"阿比盖尔·威廉姆斯(旅行装)(fate)"
abiko_yuuji,"阿比子雄二"
abmayo,"阿马约"
abo_(hechouchou),"abo(合畴丑)"
abomasnow,"厌恶雪"
about_to_be_raped,"将要被强暴"
above_clouds,"云层之上"
abra,"阿布拉"
abs,"绝对"
absinthe_(arknights),"苦艾酒(方舟之夜)"
absol_(dkqthf),"绝对(dkqthf)"
absolum_art,"绝对艺术"
absolute_cleavage,"正中间开口的服装"
absolute_duo,"绝对二人组"
absolute_territory,"绝对领域"
absolutely_everyone,"绝对是每个人"
abstract,"摘要"
abstract_background,"抽象背景"
absurdly_long_hair,"极长的头发,超长的头发,荒谬的长发"
absurdres,"超高分辨率,荒谬"
abu,"阿布"
abua,"阿布阿"
abubu,"阿布布"
abukobato,"阿布科巴托"
abukuma_(kancolle),"阿武隈(舰娘)"
abukuma_kai_ni_(kancolle),"abukumakaini(舰娘)"
aburaage,"阿布拉奇"
abuse,"滥用"
abyss_mage_(genshin_impact),"深渊法师(原神)"
abyssal_admiral_(kancolle),"深渊海军上将(舰娘)"
abyssal_crane_princess,"深渊仙鹤公主"
abyssal_ship,"深海船"
accel_world,"加速世界"
accelerator_(toaru_majutsu_no_index),"加速器(toarumajutsunoindex)"
accent_lighting,"重点照明"
accessories,"配件"
accessory_tan,"配件棕褐色"
acchi_kocchi,"阿基科基"
acchii_(akina),"阿基(阿基纳)"
accident,"事故"
accidental_exposure,"意外暴露"
accidental_pervert,"意外变态"
accio,"阿西奥"
accordion,"手风琴"
ace,"王牌"
ace_attorney,"王牌律师"
ace_attorney_investigations,"王牌律师调查"
ace_combat,"王牌战斗"
ace_combat_7,"王牌战斗7"
ace_combat_zero,"王牌战斗零"
ace_of_clubs,"俱乐部王牌"
ace_of_diamond,"钻石王牌"
ace_of_hearts,"红心王牌"
ace_of_spades,"黑桃a"
ace_rocket,"王牌火箭"
ace_trainer_(pokemon),"王牌教练(口袋妖怪)"
acerola_(pokemon),"针叶樱桃(口袋妖怪)"
achakura,"茶仓"
achan_(blue_semi),"achan(蓝色半)"
achievement_unlocked,"成就解锁"
achiga_school_uniform,"achiga校服"
achiki,"立木"
achilles_(fate),"阿喀琉斯(fate)"
acolyte_(ragnarok_online),"侍僧(仙境传说在线)"
acorn,"橡子"
acoustic_guitar,"原声吉他"
acoustic_piano,"钢琴"
acronym,"首字母缩略词"
acryl,"亚克力"
acrylic_paint_(medium),"丙烯颜料(中)"
acrylic_painting_techniques,"丙烯画技巧"
act_(xadachit),"法案(xadachit)"
action,"行动"
action_figure,"可动人偶"
action_painting,"行动绘画"
action_pizazz,"动作活泼"
action_taimanin,"动作台马宁"
ad,"广告"
ada_wong,"艾达王"
adachi_sakura,"足立樱花"
adachi_to_shimamura,"足立到岛村"
adachi_tooru,"足立彻"
adam's_apple,"亚当的苹果"
adaman_(pokemon),"阿达曼(口袋妖怪)"
adapted_costume,"改编服装"
adapted_object,"改编对象"
adapted_turret,"改装炮塔"
adapted_uniform,"适应制服"
add_(elsword),"加(艾爾之光)"
add_(fate),"加(fate)"
adelbert_steiner,"阿德伯特·施泰纳"
adeleine,"阿德莱娜"
adell_(disgaea),"阿德尔(魔界戰記)"
adepta_sororitas,"修女会"
adeptus_astartes,"阿斯塔特修会"
adiane,"阿黛安娜"
adidas,"阿迪达斯"
adjustable_wrench,"活动扳手"
adjusting_another's_clothes,"调整别人的衣服"
adjusting_another's_hair,"调整别人的头发"
adjusting_bow,"调整弓"
adjusting_bra,"调整文胸"
adjusting_buruma,"调整buruma"
adjusting_clothes,"调整衣服"
adjusting_collar,"调节环"
adjusting_eyewear,"调整眼镜"
adjusting_footwear,"调整鞋类"
adjusting_gloves,"调节手套"
adjusting_goggles,"调节护目镜"
adjusting_hair,"调整头发,理头发"
adjusting_headwear,"调整头饰"
adjusting_hood,"调节罩"
adjusting_legwear,"整理裤袜,调整裤袜"
adjusting_leotard,"调整紧身衣"
adjusting_necktie,"调整领带"
adjusting_panties,"拨内裤,调整内裤"
adjusting_scarf,"调整围巾"
adjusting_shoe,"调节鞋"
adjusting_swimsuit,"调整泳衣"
admiral_(kancolle),"海军上将(舰娘)"
admiral_(kancolle)_(cosplay),"海军上将(kancolle)(cosplay)"
admiral_(warship_girls_r),"海军上将(军舰少女)"
admiral_arisugawa,"有栖川上将"
admiral_graf_spee_(azur_lane),"海军上将斯佩伯爵(碧蓝航线)"
admiral_graf_spee_(girl's_sunday)_(azur_lane),"admiralgrafspee(girl'ssunday)(碧蓝航线)"
admiral_graf_spee_(peaceful_daily_life)_(azur_lane),"admiralgrafspee(和平的日常生活)(azurlane)"
admiral_hipper_(azur_lane),"希珀海军上将(碧蓝航线)"
admiral_paru,"帕鲁上将"
admiral_shiro_(shino),"白上将(四野)"
admiral_suwabe,"诹访部上将"
admire_vega_(umamusume),"佩服vega(umamusume)"
adolescent,"青春期的"
adolf_hitler,"阿道夫·希特勒"
adomi,"阿多米"
adrenaline!!!,"肾上腺素！！！"
adult_baby,"成年婴儿"
adult_neptune,"成年海王星"
advance_wars,"推进战争"
advanced_nurturing_high_school_uniform,"高级培育高中校服"
advent_cirno,"降临奇诺"
adventure_time,"冒险时间"
adyisu,"阿迪苏"
aegir_(azur_lane),"艾吉尔(碧蓝航线)"
aegis_(nerocc),"宙斯盾(nerocc)"
aegis_(persona),"宙斯盾(角色)"
aegis_(takunomi),"宙斯盾(takunomi)"
aegis_sword_(xenoblade),"宙斯盾剑(异刃)"
aegislash,"神盾"
aer_(tengqiu),"阿尔(腾丘)"
aerial_battle,"空战"
aerial_fireworks,"空中烟花"
aerial_view,"俯视镜头"
aerisdies,"艾瑞斯迪"
aerith_gainsborough,"爱丽丝庚斯博罗"
aerodactyl,"飞龙"
aestheticc-meme,"审美模因"
aether_(genshin_impact),"空(原神)"
aether_foundation_employee,"以太基金会员工"
aether_foundation_uniform,"以太基础制服"
aetherion,"以太离子"
affectionate,"深情的"
afloat,"漂浮"
afraid,"害怕的"
african_penguin_(kemono_friends),"非洲企鹅(kemono朋友)"
african_rock_python_(kemono_friends),"非洲岩蟒(kemono朋友)"
african_wild_dog_(kemono_friends),"非洲野狗(kemono朋友)"
african_wild_dog_ears,"狗耳"
african_wild_dog_print,"非洲野狗印花"
african_wild_dog_tail,"狗尾巴"
afro,"爆炸头,非洲人"
afrobull,"非洲公牛"
after,"之后"
after_anal,"肛门后"
after_bathing,"沐浴后"
after_battle,"战斗后"
after_ejaculation,"射精后"
after_fellatio,"口交后"
after_fingering,"指法后"
after_insertion,"插入后"
after_kiss,"接吻后"
after_masturbation,"手淫后"
after_paizuri,"乳交后"
after_rain,"雨后"
after_rape,"强奸后"
after_sex,"性爱后"
after_vaginal,"阴道后"
after_war_gundam_x,"战后高达x"
afterburner,"加力燃烧室"
afterglow,"余辉"
afterglow_(bang_dream!),"余辉(爆炸梦！)"
afterimage,"残像"
afternoon,"下午"
afterword,"后记"
afukuro,"阿福库罗"
afuro,"阿芙罗"
agahari,"阿加哈里"
against_door,"对着门"
against_fence,"对着栅栏"
against_fourth_wall,"靠着第四面墙"
against_glass,"玻璃"
against_mirror,"对着镜子"
against_railing,"靠栏杆"
against_rock,"对抗岩石"
against_table,"对着桌子"
against_tree,"反对树"
against_wall,"靠墙"
against_window,"靠窗"
agano_(kancolle),"agano(舰娘)"
agarest_senki,"阿加雷斯特战记"
agarest_senki_(series),"阿加雷斯特战记(系列)"
agata_(agatha),"阿加塔(agatha)"
agatsuma_kaede,"我妻枫"
agatsuma_zenitsu,"我妻善逸"
agawa_ryou,"阿川凉"
age_comparison,"年龄比较"
age_conscious,"年龄意识"
age_difference,"年龄差"
age_of_ishtaria,"伊什塔利亚的年龄"
age_progression,"年龄增长"
age_regression,"年龄回归"
age_switch,"年龄开关"
agekichi_(heart_shape),"agekichi(心形)"
agemono,"阿吉莫诺"
agent_(girls'_frontline),"特工(少女前线)"
agent_aika,"艾卡特工"
agetama,"阿杰塔玛"
aggron,"阿格隆"
agnamore,"阿格纳莫尔"
agnes_digital_(umamusume),"艾格尼丝数码(umamusume)"
agnes_oblige,"艾格尼丝义务"
agovitch,"阿戈维奇"
agrias_oaks,"阿格里亚斯橡树"
agrius_metamorphosis,"agrius变态"
agumon,"亚古兽"
agura,"盘腿"
ah-lyong_lee,"李阿龙"
ahagon_umiko,"ahagon美子"
ahegao,"阿嘿颜"
ahenn,"雅典"
ahoge,"呆毛"
ahoge_wag,"阿霍格摇摆"
ahri_(league_of_legends),"阿狸(英雄联盟)"
ahsoka_tano,"阿索卡·塔诺"
ai-chan_(tawawa),"爱酱(tawawa)"
ai-wa,"爱华"
ai_ai_gasa,"爱爱加沙"
ai_arctic_warfare,"人工智能北极战争"
ai_shite!_homun,"哎呀！霍蒙"
ai_takurou,"爱拓郎"
ai_tenshi_densetsu_wedding_peach,"爱天时浓密婚礼桃子"
ai_yori_aoshi,"爱由里奥西"
aiba_asagi,"相叶朝木"
aiba_yumi,"相叶由美"
aibumi,"爱布米"
aida_kensuke,"相田健介"
aida_mana,"艾达法力"
aida_rayhunton,"艾达·雷亨顿"
aida_takanobu,"相田隆信"
aida_yuu,"爱达悠"
aiguillette,"针尖"
aihara_enju,"爱原圆珠"
aihara_mei,"爱原美"
aihara_nana,"爱原奈奈"
aihara_shouta,"爱原绍沙"
aihara_yuzu,"爱原柚子"
aijou_karen,"爱茹凯伦"
aika_(series),"艾卡(系列)"
aika_granzchesta,"艾卡格兰切斯塔"
aikatsu!,"合胜！"
aikatsu!_(series),"爱胜！(系列)"
aikatsu_friends!,"合肥朋友们！"
aikatsu_on_parade!,"aikatsu在游行！"
aikatsu_stars!,"合肥明星！"
aikawa_arisa,"相川有纱"
aikawa_chiho,"合川千穗"
aikawa_chinatsu,"合川chinatsu"
aikawa_ruru,"相川露露"
aikawa_ryou,"合川凉"
aikei_ake,"艾克艾克"
aiko_(kanl),"爱子(kanl)"
aiko_(renkin_san-kyuu_magical_pokaan),"爱子(renkinsan-kyuu魔法pokaan)"
aikome_(haikome),"爱科美(haikome)"
aikura_(twilight_dusk),"aikura(黄昏)"
aila_jyrkiainen,"艾拉·约尔基亚宁"
aile_(crossroads),"aile(十字路口)"
aile_(mega_man_zx),"爱乐(megamanzx)"
aimaina,"爱迈纳"
aimee_(emi),"艾米(emi)"
aiming,"瞄准"
aiming_at_viewer,"瞄准观众"
aimitsu_(ibityuttyu),"爱光(ibityuttyu)"
aimobake,"爱烘焙"
aimori_meguru,"爱森巡视"
aina_(mao_lian),"艾娜(毛连)"
aina_ardebit,"艾娜借记"
aino_heart,"爱诺心"
aino_megumi,"爱野惠"
aino_minako,"爱野美奈子"
ainu,"阿伊努人"
ainu_clothes,"阿伊努人衣服"
